Importance,Level,Job Zone,Code,Occupation
74,62,2,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
74,62,2,43-5041.00,"Meter Readers, Utilities"
74,61,2,53-2031.00,Flight Attendants
74,61,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
74,57,5,29-1123.00,Physical Therapists
74,52,2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
74,41,1,45-2091.00,Agricultural Equipment Operators
73,80,2,27-2021.00,Athletes and Sports Competitors
73,75,4,19-1031.02,Range Managers
73,75,2,47-2044.00,Tile and Stone Setters
73,74,1,45-3031.00,Fishing and Hunting Workers
73,72,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
73,71,2,51-7011.00,Cabinetmakers and Bench Carpenters
73,70,2,53-4031.00,Railroad Conductors and Yardmasters
73,69,2,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
73,68,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
73,66,3,47-4041.00,Hazardous Materials Removal Workers
73,64,2,31-9093.00,Medical Equipment Preparers
73,60,3,51-9195.05,"Potters, Manufacturing"
73,59,2,35-3041.00,"Food Servers, Nonrestaurant"
73,59,2,33-9093.00,Transportation Security Screeners
73,58,2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
73,58,3,29-1124.00,Radiation Therapists
73,57,2,31-1133.00,Psychiatric Aides
72,79,1,47-5011.00,"Derrick Operators, Oil and Gas"
72,77,2,47-2072.00,Pile Driver Operators
72,75,2,47-2021.00,Brickmasons and Blockmasons
72,75,2,47-4031.00,Fence Erectors
72,72,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
72,69,2,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
72,69,2,49-3092.00,Recreational Vehicle Service Technicians
72,68,3,49-3051.00,Motorboat Mechanics and Service Technicians
72,68,3,47-2152.04,Solar Thermal Installers and Technicians
72,67,2,39-6011.00,Baggage Porters and Bellhops
72,66,1,51-9022.00,"Grinding and Polishing Workers, Hand"
72,64,2,53-7061.00,Cleaners of Vehicles and Equipment
72,63,2,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
72,62,2,51-2031.00,Engine and Other Machine Assemblers
72,62,2,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
72,58,5,29-1151.00,Nurse Anesthetists
72,56,2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
72,54,4,29-1141.03,Critical Care Nurses
71,80,2,47-2211.00,Sheet Metal Workers
71,76,2,47-5023.00,"Earth Drillers, Except Oil and Gas"
71,76,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
71,72,2,53-7073.00,Wellhead Pumpers
71,70,3,49-3041.00,Farm Equipment Mechanics and Service Technicians
71,69,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
71,69,4,17-1022.00,Surveyors
71,64,4,19-1031.00,Conservation Scientists
71,64,5,29-1122.00,Occupational Therapists
71,63,1,53-7011.00,Conveyor Operators and Tenders
71,59,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
71,52,2,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
71,47,3,39-5011.00,Barbers
71,45,1,37-2012.00,Maids and Housekeeping Cleaners
70,73,3,53-5031.00,Ship Engineers
70,72,3,19-4071.00,Forest and Conservation Technicians
70,70,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
70,70,3,49-9043.00,"Maintenance Workers, Machinery"
70,69,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
70,66,2,49-9031.00,Home Appliance Repairers
70,66,4,19-1031.03,Park Naturalists
70,62,3,27-1012.00,Craft Artists
70,57,4,27-2022.00,Coaches and Scouts
70,50,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
70,48,3,31-1131.00,Nursing Assistants
70,47,2,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
69,73,2,51-8099.01,Biofuels Processing Technicians
69,71,1,47-5051.00,"Rock Splitters, Quarry"
69,70,3,33-3051.00,Police and Sheriff's Patrol Officers
69,69,3,33-2021.00,Fire Inspectors and Investigators
69,69,3,49-9071.00,"Maintenance and Repair Workers, General"
69,67,3,35-1011.00,Chefs and Head Cooks
69,67,2,51-4052.00,"Pourers and Casters, Metal"
69,62,1,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
69,62,2,37-2021.00,Pest Control Workers
69,61,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
69,55,3,51-9161.00,Computer Numerically Controlled Tool Operators
69,53,3,31-9099.02,Endoscopy Technicians
69,41,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
68,74,4,53-6051.00,Transportation Inspectors
68,71,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
68,71,2,51-4192.00,"Layout Workers, Metal and Plastic"
68,69,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
68,69,2,47-2061.00,Construction Laborers
68,68,2,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
68,65,2,47-2141.00,"Painters, Construction and Maintenance"
68,64,2,53-7081.00,Refuse and Recyclable Material Collectors
68,62,2,49-3093.00,Tire Repairers and Changers
68,60,2,51-7021.00,Furniture Finishers
68,58,3,31-9097.00,Phlebotomists
68,55,2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
68,55,3,29-2055.00,Surgical Technologists
68,55,2,51-6093.00,Upholsterers
68,54,2,51-3092.00,Food Batchmakers
68,54,2,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
68,53,1,45-2041.00,"Graders and Sorters, Agricultural Products"
68,52,2,51-2021.00,"Coil Winders, Tapers, and Finishers"
68,51,2,53-7065.00,Stockers and Order Fillers
68,42,2,39-9011.01,Nannies
67,73,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
67,71,4,19-1032.00,Foresters
67,71,3,47-1011.03,Solar Energy Installation Managers
67,70,2,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
67,67,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
67,66,5,29-1291.00,Acupuncturists
67,61,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
67,60,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
67,57,5,29-9091.00,Athletic Trainers
67,56,2,51-3021.00,Butchers and Meat Cutters
67,55,3,39-4011.00,Embalmers
67,55,3,29-2034.00,Radiologic Technologists and Technicians
66,73,2,51-2051.00,Fiberglass Laminators and Fabricators
66,62,2,51-9011.00,Chemical Equipment Operators and Tenders
66,62,2,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
66,58,3,33-1011.00,First-Line Supervisors of Correctional Officers
66,58,1,37-3011.00,Landscaping and Groundskeeping Workers
66,57,4,39-9032.00,Recreation Workers
66,55,5,29-9099.01,Midwives
66,53,2,35-2014.00,"Cooks, Restaurant"
66,51,2,39-3092.00,Costume Attendants
66,50,5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
66,46,1,51-6011.00,Laundry and Dry-Cleaning Workers
65,70,2,49-3043.00,Rail Car Repairers
65,69,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
65,66,2,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
65,65,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
65,64,3,49-3023.00,Automotive Service Technicians and Mechanics
65,64,2,47-2081.00,Drywall and Ceiling Tile Installers
65,64,2,47-4051.00,Highway Maintenance Workers
65,61,2,49-3091.00,Bicycle Repairers
65,60,4,25-4013.00,Museum Technicians and Conservators
65,59,2,53-7062.04,Recycling and Reclamation Workers
65,58,2,53-6031.00,Automotive and Watercraft Service Attendants
65,58,2,51-8091.00,Chemical Plant and System Operators
65,57,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
65,57,2,47-2082.00,Tapers
65,54,2,51-5113.00,Print Binding and Finishing Workers
65,51,3,29-2032.00,Diagnostic Medical Sonographers
65,49,2,51-3093.00,Food Cooking Machine Operators and Tenders
65,46,2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
64,71,3,49-9041.00,Industrial Machinery Mechanics
64,69,2,47-5043.00,"Roof Bolters, Mining"
64,58,2,53-7031.00,Dredge Operators
64,58,2,51-3023.00,Slaughterers and Meat Packers
64,57,2,45-4023.00,Log Graders and Scalers
64,57,4,29-1125.00,Recreational Therapists
64,55,2,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
64,54,2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
64,54,3,29-2061.00,Licensed Practical and Licensed Vocational Nurses
64,43,3,39-5094.00,Skincare Specialists
63,66,2,53-1041.00,Aircraft Cargo Handling Supervisors
63,65,3,51-7031.00,"Model Makers, Wood"
63,63,3,53-7021.00,Crane and Tower Operators
63,63,5,29-1229.06,Sports Medicine Physicians
63,62,3,33-1012.00,First-Line Supervisors of Police and Detectives
63,62,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
63,59,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
63,58,5,29-1161.00,Nurse Midwives
63,57,2,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
63,56,2,49-9094.00,Locksmiths and Safe Repairers
63,55,2,51-5112.00,Printing Press Operators
63,52,2,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
63,52,3,29-2035.00,Magnetic Resonance Imaging Technologists
63,51,1,51-9031.00,"Cutters and Trimmers, Hand"
63,50,5,29-2091.00,Orthotists and Prosthetists
63,49,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
63,49,3,29-1126.00,Respiratory Therapists
63,42,2,35-2012.00,"Cooks, Institution and Cafeteria"
62,74,3,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
62,67,2,53-5022.00,Motorboat Operators
62,64,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
62,63,2,51-8013.00,Power Plant Operators
62,62,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
62,61,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
62,57,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
62,55,2,49-3021.00,Automotive Body and Related Repairers
62,54,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
62,51,2,47-3016.00,Helpers--Roofers
62,49,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
62,49,3,29-2099.01,Neurodiagnostic Technologists
62,48,1,35-3023.01,Baristas
62,47,2,51-2092.00,Team Assemblers
62,41,2,51-6041.00,Shoe and Leather Workers and Repairers
62,40,3,29-1292.00,Dental Hygienists
61,70,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
61,65,3,19-4012.00,Agricultural Technicians
61,57,3,33-3021.00,Detectives and Criminal Investigators
61,56,2,53-4041.00,Subway and Streetcar Operators
61,55,2,45-2011.00,Agricultural Inspectors
61,53,2,33-3012.00,Correctional Officers and Jailers
61,49,3,29-2053.00,Psychiatric Technicians
61,47,2,53-7063.00,Machine Feeders and Offbearers
61,45,2,53-7064.00,"Packers and Packagers, Hand"
61,45,4,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
60,63,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
60,60,3,49-2091.00,Avionics Technicians
60,60,3,51-8021.00,Stationary Engineers and Boiler Operators
60,59,5,29-1022.00,Oral and Maxillofacial Surgeons
60,58,1,35-2021.00,Food Preparation Workers
60,58,3,27-4021.00,Photographers
60,57,3,33-3051.04,Customs and Border Protection Officers
60,56,3,13-1041.06,Coroners
60,54,3,51-2041.00,Structural Metal Fabricators and Fitters
60,53,2,27-2023.00,"Umpires, Referees, and Other Sports Officials"
60,50,2,33-9091.00,Crossing Guards and Flaggers
60,48,2,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
60,47,3,29-2033.00,Nuclear Medicine Technologists
60,47,2,35-3031.00,Waiters and Waitresses
60,38,2,35-2015.00,"Cooks, Short Order"
59,62,3,19-4051.00,Nuclear Technicians
59,60,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
59,58,2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
59,55,4,13-1121.00,"Meeting, Convention, and Event Planners"
59,53,2,33-9032.00,Security Guards
59,51,2,39-7012.00,Travel Guides
59,50,2,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
59,48,2,31-1121.00,Home Health Aides
59,47,5,25-1072.00,"Nursing Instructors and Teachers, Postsecondary"
59,45,1,39-3091.00,Amusement and Recreation Attendants
59,45,2,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
59,37,2,35-3011.00,Bartenders
58,68,3,49-9097.00,Signal and Track Switch Repairers
58,62,2,39-4021.00,Funeral Attendants
58,60,3,49-3011.00,Aircraft Mechanics and Service Technicians
58,60,2,53-4011.00,Locomotive Engineers
58,59,2,17-3029.01,Non-Destructive Testing Specialists
58,58,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
58,51,3,53-6041.00,Traffic Technicians
58,51,2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
58,48,3,31-9092.00,Medical Assistants
58,45,2,43-5051.00,Postal Service Clerks
58,40,3,25-4031.00,Library Technicians
57,69,2,33-3041.00,Parking Enforcement Workers
57,65,5,19-1029.04,Biologists
57,58,2,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
57,57,1,45-4022.00,Logging Equipment Operators
57,55,3,17-3027.01,Automotive Engineering Technicians
57,55,3,47-4011.00,Construction and Building Inspectors
57,54,1,35-9021.00,Dishwashers
57,52,2,47-5044.00,"Loading and Moving Machine Operators, Underground Mining"
57,51,2,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
57,48,2,53-3033.00,Light Truck Drivers
57,46,2,39-9011.00,Childcare Workers
57,46,2,51-2022.00,Electrical and Electronic Equipment Assemblers
57,39,3,29-2051.00,Dietetic Technicians
56,61,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
56,59,3,19-4051.02,Nuclear Monitoring Technicians
56,58,3,51-4041.00,Machinists
56,56,4,17-1022.01,Geodetic Surveyors
56,56,3,51-9082.00,Medical Appliance Technicians
56,52,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
56,50,2,41-2022.00,Parts Salespersons
56,49,2,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
56,44,2,51-9194.00,Etchers and Engravers
56,43,3,29-2031.00,Cardiovascular Technologists and Technicians
56,40,3,35-2013.00,"Cooks, Private Household"
55,60,3,33-3021.02,Police Identification and Records Officers
55,59,2,47-5041.00,Continuous Mining Machine Operators
55,58,3,17-3024.01,Robotics Technicians
55,55,3,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
55,54,5,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
55,54,3,47-4011.01,Energy Auditors
55,53,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
55,53,4,25-2032.00,"Career/Technical Education Teachers, Secondary School"
55,47,2,27-1023.00,Floral Designers
55,47,5,25-2051.00,"Special Education Teachers, Preschool"
55,46,2,43-5011.00,Cargo and Freight Agents
55,44,2,39-5093.00,Shampooers
54,58,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
54,55,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
54,54,2,51-8013.03,Biomass Plant Technicians
54,53,3,49-2097.00,Audiovisual Equipment Installers and Repairers
54,50,3,11-3012.00,Administrative Services Managers
54,50,3,27-4031.00,"Camera Operators, Television, Video, and Film"
54,49,3,19-4031.00,Chemical Technicians
54,43,3,51-6092.00,Fabric and Apparel Patternmakers
54,43,5,29-1171.00,Nurse Practitioners
54,43,3,25-2011.00,"Preschool Teachers, Except Special Education"
53,56,5,19-1013.00,Soil and Plant Scientists
53,52,3,51-4062.00,"Patternmakers, Metal and Plastic"
53,51,3,53-2022.00,Airfield Operations Specialists
53,50,2,43-5021.00,Couriers and Messengers
53,49,3,27-4012.00,Broadcast Technicians
53,46,3,31-9091.00,Dental Assistants
53,43,2,51-2023.00,Electromechanical Equipment Assemblers
53,41,3,39-9041.00,Residential Advisors
53,39,2,41-2011.00,Cashiers
53,39,4,21-1094.00,Community Health Workers
53,39,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
53,36,2,41-9011.00,Demonstrators and Product Promoters
52,56,5,19-2041.02,Environmental Restoration Planners
52,52,3,17-3026.00,Industrial Engineering Technologists and Technicians
52,51,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
52,51,3,13-1041.04,Government Property Inspectors and Investigators
52,49,4,27-2042.00,Musicians and Singers
52,46,4,11-3051.00,Industrial Production Managers
52,45,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
52,44,3,49-9063.00,Musical Instrument Repairers and Tuners
52,41,3,11-9179.02,Spa Managers
52,36,2,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
51,56,5,19-3091.00,Anthropologists and Archeologists
51,52,3,17-3027.00,Mechanical Engineering Technologists and Technicians
51,51,3,27-4011.00,Audio and Video Technicians
51,50,5,29-1131.00,Veterinarians
51,48,4,13-1041.01,Environmental Compliance Inspectors
51,48,2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
51,48,5,29-1081.00,Podiatrists
51,47,4,29-2011.00,Medical and Clinical Laboratory Technologists
51,47,3,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
51,45,4,19-4043.00,"Geological Technicians, Except Hydrologic Technicians"
51,45,4,29-1129.02,Music Therapists
51,45,2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
51,42,2,11-9051.00,Food Service Managers
51,40,5,29-1216.00,General Internal Medicine Physicians
50,55,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
50,53,3,41-4011.07,Solar Sales Representatives and Assessors
50,52,5,29-1071.01,Anesthesiologist Assistants
50,51,3,19-5012.00,Occupational Health and Safety Technicians
50,46,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
50,45,2,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
50,44,2,41-2012.00,Gambling Change Persons and Booth Cashiers
50,43,2,53-3052.00,"Bus Drivers, Transit and Intercity"
50,42,1,35-2011.00,"Cooks, Fast Food"
50,41,2,41-2031.00,Retail Salespersons
50,33,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
49,52,2,53-7041.00,Hoist and Winch Operators
49,51,3,53-2012.00,Commercial Pilots
49,48,2,33-9099.02,Retail Loss Prevention Specialists
49,47,5,25-4012.00,Curators
49,40,2,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
49,35,1,51-9123.00,"Painting, Coating, and Decorating Workers"
49,30,2,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
48,54,3,51-8092.00,Gas Plant Operators
48,48,5,29-1211.00,Anesthesiologists
48,47,5,25-4011.00,Archivists
48,47,3,51-4111.00,Tool and Die Makers
48,43,2,31-9095.00,Pharmacy Aides
48,42,3,13-1041.00,Compliance Officers
48,42,5,29-1071.00,Physician Assistants
48,42,5,29-1229.03,Urologists
48,38,5,29-1213.00,Dermatologists
48,38,1,51-6031.00,Sewing Machine Operators
47,50,3,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians
47,43,3,17-3031.00,Surveying and Mapping Technicians
47,37,2,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
47,29,2,43-9071.00,"Office Machine Operators, Except Computer"
46,49,2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
46,44,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
46,41,3,25-3021.00,Self-Enrichment Teachers
46,40,2,53-6011.00,Bridge and Lock Tenders
46,39,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
46,36,2,51-3011.00,Bakers
45,56,5,19-1023.00,Zoologists and Wildlife Biologists
45,46,3,53-6051.01,Aviation Inspectors
45,43,3,51-4061.00,"Model Makers, Metal and Plastic"
45,37,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
44,55,4,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
44,53,4,19-4012.01,Precision Agriculture Technicians
44,50,3,11-9171.00,Funeral Home Managers
44,49,4,17-3025.00,Environmental Engineering Technologists and Technicians
44,45,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
